Date,Closing Price
18/10/2021,40850
19/10/2021,40900
20/10/2021,40300
21/10/2021,39700
22/10/2021,39200
25/10/2021,38300
26/10/2021,38800
27/10/2021,40400
28/10/2021,40800
29/10/2021,40500
1/11/2021,41400
2/11/2021,42350
3/11/2021,41700
4/11/2021,43000
5/11/2021,42900
8/11/2021,44500
9/11/2021,44300
10/11/2021,44700
11/11/2021,44150
12/11/2021,44600
15/11/2021,45800
16/11/2021,44750
17/11/2021,45850
18/11/2021,49050
19/11/2021,48500
22/11/2021,48600
23/11/2021,52000
24/11/2021,53200
25/11/2021,55000
26/11/2021,53500
29/11/2021,55300
30/11/2021,55900
1/12/2021,55200
2/12/2021,54000
3/12/2021,50500
6/12/2021,51000
7/12/2021,52200
8/12/2021,51800
9/12/2021,53800
10/12/2021,53000
13/12/2021,53400
14/12/2021,52700
15/12/2021,51700
16/12/2021,50900
17/12/2021,52500
20/12/2021,53500
21/12/2021,52500
22/12/2021,51100
23/12/2021,49000
24/12/2021,49050
27/12/2021,49150
28/12/2021,48800
29/12/2021,49650
30/12/2021,52600
31/12/2021,51800
4/1/2022,53000
5/1/2022,52800
6/1/2022,51900
7/1/2022,51600
10/1/2022,49550
11/1/2022,48100
12/1/2022,50500
13/1/2022,48850
14/1/2022,48700
17/1/2022,45300
18/1/2022,42300
19/1/2022,45200
20/1/2022,45700
21/1/2022,44550
24/1/2022,41450
25/1/2022,42800
26/1/2022,42450
27/1/2022,43400
28/1/2022,45050
7/2/2022,45850
8/2/2022,45650
9/2/2022,45700
10/2/2022,45100
11/2/2022,45100
14/2/2022,43600
15/2/2022,44200
16/2/2022,44900
17/2/2022,45000
18/2/2022,45200
21/2/2022,46000
22/2/2022,45000
23/2/2022,45300
24/2/2022,44600
25/2/2022,45700
28/2/2022,45700
1/3/2022,46000
2/3/2022,44800
3/3/2022,45500
4/3/2022,46600
7/3/2022,46800
8/3/2022,47000
9/3/2022,46600
10/3/2022,46600
11/3/2022,45000
14/3/2022,43200
15/3/2022,43300
16/3/2022,43800
17/3/2022,43800
18/3/2022,43800
21/3/2022,44300
22/3/2022,44350
23/3/2022,44200
24/3/2022,43800
25/3/2022,43450
28/3/2022,42250
29/3/2022,42650
30/3/2022,42300
31/3/2022,42000
1/4/2022,42900
4/4/2022,45000
5/4/2022,44300
6/4/2022,44600
7/4/2022,44050
8/4/2022,43000
12/4/2022,41800
13/4/2022,42550
14/4/2022,42000
15/4/2022,40000
18/4/2022,37500
19/4/2022,35000
20/4/2022,35200
21/4/2022,36050
22/4/2022,36050
25/4/2022,33550
26/4/2022,34500
27/4/2022,34400
28/4/2022,33500
29/4/2022,33550
4/5/2022,32000
5/5/2022,31000
6/5/2022,28850
9/5/2022,26850
10/5/2022,27900
11/5/2022,27700
12/5/2022,25800
13/5/2022,25800
16/5/2022,27300
17/5/2022,29150
18/5/2022,28650
19/5/2022,28500
20/5/2022,28450
23/5/2022,26500
24/5/2022,28100
25/5/2022,28800
26/5/2022,29450
27/5/2022,29900
30/5/2022,29900
31/5/2022,29650
1/6/2022,29550
2/6/2022,29000
3/6/2022,29250
6/6/2022,29000
7/6/2022,28200
8/6/2022,29300
9/6/2022,29000
10/6/2022,27850
13/6/2022,25950
14/6/2022,24350
15/6/2022,22650
16/6/2022,22150
17/6/2022,20600
20/6/2022,19200
21/6/2022,18300
22/6/2022,17700
23/6/2022,18500
24/6/2022,18600
27/6/2022,19850
28/6/2022,19600
29/6/2022,19750
30/6/2022,18800
1/7/2022,19700
4/7/2022,20200
5/7/2022,19700
6/7/2022,19000
7/7/2022,19100
8/7/2022,20400
11/7/2022,20650
12/7/2022,20900
13/7/2022,20700
14/7/2022,21500
15/7/2022,21100
18/7/2022,20900
19/7/2022,20650
20/7/2022,21300
21/7/2022,21300
22/7/2022,20900
25/7/2022,20450
26/7/2022,20250
27/7/2022,20400
28/7/2022,21150
29/7/2022,21350
1/8/2022,22800
2/8/2022,23200
3/8/2022,23550
4/8/2022,23550
5/8/2022,24800
8/8/2022,24650
9/8/2022,24800
10/8/2022,24550
11/8/2022,24400
12/8/2022,24900
15/8/2022,24750
16/8/2022,24600
17/8/2022,24550
18/8/2022,25100
19/8/2022,25150
22/8/2022,24700
23/8/2022,25400
24/8/2022,25250
25/8/2022,25500
26/8/2022,24800
29/8/2022,24400
30/8/2022,23950
31/8/2022,24000
5/9/2022,23700
6/9/2022,23750
7/9/2022,22550
8/9/2022,22050
9/9/2022,22200
12/9/2022,21850
13/9/2022,21650
14/9/2022,21950
15/9/2022,21650
16/9/2022,21150
19/9/2022,19900
20/9/2022,20700
21/9/2022,20550
22/9/2022,21100
23/9/2022,20650
26/9/2022,19500
27/9/2022,19550
28/9/2022,19750
29/9/2022,19300
30/9/2022,19800
3/10/2022,18450
4/10/2022,17800
5/10/2022,18650
6/10/2022,17400
7/10/2022,16800
10/10/2022,17400
11/10/2022,16200
12/10/2022,17250
13/10/2022,17500
14/10/2022,17900
17/10/2022,18000
18/10/2022,17800
19/10/2022,17650
20/10/2022,17400
21/10/2022,16200
24/10/2022,15100
25/10/2022,15050
26/10/2022,14850
27/10/2022,15850
28/10/2022,15900
31/10/2022,16300
1/11/2022,16950
2/11/2022,16500
3/11/2022,16500
4/11/2022,15350
7/11/2022,14300
8/11/2022,15000
9/11/2022,14900
10/11/2022,13900
11/11/2022,14100
14/11/2022,14250
15/11/2022,13900
16/11/2022,14850
17/11/2022,15800
18/11/2022,16250
21/11/2022,16100
22/11/2022,16350
23/11/2022,15800
24/11/2022,16000
25/11/2022,17100
28/11/2022,18250
29/11/2022,18950
30/11/2022,19250
1/12/2022,18200
2/12/2022,19450
5/12/2022,20800
6/12/2022,19550
7/12/2022,19250
8/12/2022,20550
9/12/2022,20250
12/12/2022,19150
13/12/2022,20400
14/12/2022,20100
15/12/2022,20250
16/12/2022,20500
19/12/2022,20500
20/12/2022,19800
21/12/2022,19300
22/12/2022,19100
23/12/2022,18300
26/12/2022,17050
27/12/2022,18200
28/12/2022,18150
29/12/2022,17600
30/12/2022,17700
3/1/2023,18900
4/1/2023,19000
5/1/2023,19300
6/1/2023,18900
9/1/2023,19000
10/1/2023,18900
11/1/2023,19300
12/1/2023,19300
13/1/2023,19200
16/1/2023,19400
17/1/2023,20400
18/1/2023,20550
19/1/2023,21200
27/1/2023,20950
30/1/2023,21000
31/1/2023,21600
1/2/2023,20150
2/2/2023,20150
3/2/2023,19750
6/2/2023,20000
7/2/2023,19050
8/2/2023,19500
9/2/2023,19350
10/2/2023,19000
13/2/2023,18500
14/2/2023,18900
15/2/2023,19100
16/2/2023,19500
17/2/2023,19450
20/2/2023,20750
21/2/2023,20450
22/2/2023,19300
23/2/2023,19700
24/2/2023,19000
27/2/2023,18250
28/2/2023,18250
1/3/2023,18950
2/3/2023,18650
3/3/2023,18450
6/3/2023,18750
7/3/2023,19400
8/3/2023,19800
9/3/2023,19800
10/3/2023,19800
13/3/2023,19650
14/3/2023,19050
15/3/2023,20350
16/3/2023,20150
17/3/2023,20300
20/3/2023,19500
21/3/2023,20000
22/3/2023,19850
23/3/2023,20350
24/3/2023,20450
27/3/2023,21000
28/3/2023,20800
29/3/2023,21050
30/3/2023,20950
31/3/2023,21500
3/4/2023,22000
